,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,2,ZA,1584490056,93,-34.42,19.23,63.0,1.14
1,Sorong,0,ID,1584490130,67,-0.88,131.25,83.21,2.53
2,Rocha,100,UY,1584490131,77,-34.48,-54.33,64.78,10.54
3,Yellowknife,75,CA,1584490006,64,62.46,-114.35,1.99,5.82
4,Talnakh,75,RU,1584489899,92,69.49,88.4,10.4,26.84
5,Arraial do Cabo,90,BR,1584490095,100,-22.97,-42.03,71.6,6.93
6,Najrān,8,SA,1584490136,33,17.49,44.13,77.0,4.7
7,Misratah,60,LY,1584490137,75,32.38,15.09,58.6,22.73
8,Hobyo,22,SO,1584490107,79,5.35,48.53,77.47,11.34
9,Kruisfontein,0,ZA,1584490140,83,-34.0,24.73,62.49,8.39
10,Batesville,90,US,1584490144,81,35.77,-91.64,53.01,4.7
11,Vaini,75,TO,1584489831,94,-21.2,-175.2,77.0,3.36
12,Bara,80,NG,1584490147,10,10.37,10.73,72.7,6.51
13,Bethel,20,US,1584490148,75,41.37,-73.41,51.01,5.82
14,Punta Arenas,75,CL,1584490047,54,-53.15,-70.92,55.4,24.16
15,Nagrām,0,IN,1584490151,87,26.62,81.13,60.8,2.24
16,Mataura,1,NZ,1584490001,74,-46.19,168.86,57.0,5.01
17,Zhigansk,0,RU,1584490153,91,66.77,123.37,-28.52,11.27
18,Cotuí,75,DO,1584490154,100,19.05,-70.15,77.0,11.41
19,Cockburn Town,40,TC,1584490156,64,21.46,-71.14,75.2,11.41
20,Busselton,35,AU,1584489804,93,-33.65,115.33,55.99,17.47
21,Puerto Ayora,20,EC,1584489808,62,-0.74,-90.35,84.2,9.17
22,Ostrovnoy,4,RU,1584490160,96,68.05,39.51,16.77,13.29
23,Sobolevo,82,RU,1584490161,92,54.43,31.9,33.39,7.83
24,Castro,0,BR,1584490004,97,-24.79,-50.01,65.41,5.91
25,Rikitea,4,PF,1584489788,78,-23.12,-134.97,80.71,11.9
26,Traunstein,75,DE,1584490165,93,47.88,12.65,46.4,8.05
27,Nerchinskiy Zavod,26,RU,1584490166,76,51.31,119.61,23.38,10.13
28,Nouakchott,77,MR,1584490125,73,18.09,-15.98,71.6,13.87
29,Shagonar,100,RU,1584490168,87,51.53,92.8,19.83,2.82
30,Cabo San Lucas,75,MX,1584489836,64,22.89,-109.91,75.0,8.05
31,Kawerau,0,NZ,1584490171,53,-38.1,176.7,66.0,1.99
32,Cape Town,8,ZA,1584489770,88,-33.93,18.42,66.99,10.29
33,Beringovskiy,21,RU,1584490173,84,63.05,179.32,32.9,13.42
